CREATE	property	equivalent property	equivalent property in other ontologies (use in statements on properties, use property URI)	ontological equivalent, owl:equivalentProperty	url
equivalent property	http://www.wikidata.org/prop/direct/P1628				
equivalent property	http://www.w3.org/2002/07/owl#equivalentProperty	Wikidata entity ID	P1628		
